Time Period,Males,Females
Jan 2014,"5,111.3","2,817.4"
Feb 2014,"5,178.9","2,881.4"
Mar 2014,"5,126.5","2,836.3"
Apr 2014,"5,153.5","2,824.4"
May 2014,"5,155.4","2,867.4"
Jun 2014,"5,121.4","2,855.3"
Jul 2014,"5,172.6","2,871.0"
Aug 2014,"5,120.6","2,843.6"
Sep 2014,"5,131.0","2,847.4"
Oct 2014,"5,134.2","2,847.5"
Nov 2014,"5,187.1","2,825.7"
Dec 2014,"5,258.1","2,895.9"
Jan 2015,"5,156.3","2,850.3"
Feb 2015,"5,249.8","2,903.0"
Mar 2015,"5,221.1","2,855.9"
Apr 2015,"5,175.9","2,881.8"
May 2015,"5,198.5","2,910.6"
Jun 2015,"5,174.3","2,911.0"
Jul 2015,"5,209.5","2,938.0"
Aug 2015,"5,165.0","2,886.7"
Sep 2015,"5,177.9","2,929.6"
Oct 2015,"5,221.1","2,921.2"
Nov 2015,"5,239.0","2,982.1"
Dec 2015,"5,315.8","3,033.2"
Jan 2016,"5,208.9","2,946.3"
Feb 2016,"5,283.0","3,013.0"
Mar 2016,"5,210.0","2,955.6"
Apr 2016,"5,170.0","2,977.6"
May 2016,"5,194.6","2,976.2"
Jun 2016,"5,208.4","2,981.4"
Jul 2016,"5,204.1","2,988.9"
Aug 2016,"5,159.8","2,940.4"
Sep 2016,"5,127.4","2,942.3"
Oct 2016,"5,167.1","2,944.1"
Nov 2016,"5,226.7","2,989.1"
Dec 2016,"5,294.1","3,035.7"
Jan 2017,"5,180.9","2,913.9"
Feb 2017,"5,273.5","2,990.0"
Mar 2017,"5,236.5","2,992.2"
Apr 2017,"5,253.9","2,978.4"
May 2017,"5,291.3","3,033.3"
Jun 2017,"5,316.8","3,054.8"
Jul 2017,"5,315.3","3,075.7"
Aug 2017,"5,286.4","3,060.8"
Sep 2017,"5,323.2","3,064.1"
Oct 2017,"5,325.3","3,081.8"
Nov 2017,"5,374.7","3,142.4"
Dec 2017,"5,423.9","3,197.3"
Jan 2018,"5,296.3","3,109.2"
Feb 2018,"5,421.9","3,162.7"
Mar 2018,"5,355.2","3,095.3"
Apr 2018,"5,363.1","3,123.0"
May 2018,"5,378.0","3,113.6"
Jun 2018,"5,388.7","3,129.9"
Jul 2018,"5,420.5","3,155.4"
Aug 2018,"5,408.6","3,141.6"
Sep 2018,"5,431.6","3,167.6"
Oct 2018,"5,450.1","3,189.5"
Nov 2018,"5,475.0","3,221.5"
Dec 2018,"5,509.4","3,285.5"
Jan 2019,"5,486.7","3,227.3"
Feb 2019,"5,546.8","3,277.5"
Mar 2019,"5,511.6","3,239.8"
Apr 2019,"5,474.0","3,255.6"
May 2019,"5,514.6","3,228.1"
Jun 2019,"5,513.3","3,247.8"
Jul 2019,"5,523.9","3,307.3"
Aug 2019,"5,481.4","3,248.5"
Sep 2019,"5,498.3","3,284.2"
Oct 2019,"5,491.0","3,276.6"
Nov 2019,"5,521.7","3,315.4"
Dec 2019,"5,542.5","3,402.7"
Jan 2020,"5,488.4","3,335.7"
Feb 2020,"5,566.7","3,359.5"
Mar 2020,"5,504.4","3,304.8"
Apr 2020,"5,359.6","3,205.9"
May 2020,"5,308.8","3,174.5"
Jun 2020,"5,289.1","3,165.8"
Jul 2020,"5,318.4","3,216.0"
Aug 2020,"5,297.5","3,178.3"
Sep 2020,"5,268.4","3,191.2"
Oct 2020,"5,363.7","3,183.6"
Nov 2020,"5,434.6","3,261.0"
Dec 2020,"5,480.8","3,353.1"
Jan 2021,"5,406.7","3,298.0"
Feb 2021,"5,512.5","3,407.8"
Mar 2021,"5,447.5","3,331.9"
Apr 2021,"5,451.7","3,333.7"
May 2021,"5,490.7","3,414.4"
Jun 2021,"5,538.4","3,404.4"
Jul 2021,"5,557.2","3,416.8"
Aug 2021,"5,476.7","3,354.8"
Sep 2021,"5,486.5","3,393.8"
Oct 2021,"5,479.5","3,371.5"
Nov 2021,"5,593.7","3,461.2"
Dec 2021,"5,676.7","3,546.9"
Jan 2022,"5,569.2","3,469.4"
Feb 2022,"5,730.6","3,596.0"
Mar 2022,"5,669.8","3,552.3"
Apr 2022,"5,710.5","3,590.5"
May 2022,"5,753.2","3,639.1"
Jun 2022,"5,779.7","3,658.7"
Jul 2022,"5,765.3","3,654.2"
Aug 2022,"5,761.4","3,651.7"
Sep 2022,"5,777.7","3,684.2"
Oct 2022,"5,823.2","3,693.6"
Nov 2022,"5,881.3","3,742.0"
Dec 2022,"5,949.7","3,828.2"
Jan 2023,"5,803.0","3,723.7"
Feb 2023,"5,963.2","3,835.3"
Mar 2023,"5,944.6","3,816.9"
Apr 2023,"5,871.1","3,840.5"
May 2023,"5,933.8","3,887.6"
Jun 2023,"5,955.3","3,884.6"
Jul 2023,"5,959.0","3,882.9"
Aug 2023,"5,936.0","3,800.4"
Sep 2023,"5,884.9","3,828.9"
Oct 2023,"5,899.0","3,842.7"
Nov 2023,"5,988.5","3,886.8"
Dec 2023,"6,003.7","3,875.7"
Jan 2024,"5,852.5","3,776.9"
Feb 2024,"6,010.3","3,926.8"
Mar 2024,"5,963.2","3,869.7"
Apr 2024,"5,929.2","3,857.4"
May 2024,"5,997.0","3,873.9"
Jun 2024,"6,005.4","3,901.1"
Jul 2024,"6,042.2","3,955.4"
Aug 2024,"5,963.3","3,917.0"
Sep 2024,"6,027.0","3,915.2"
Oct 2024,"6,046.8","3,905.2"
Nov 2024,"6,137.6","3,968.7"
Dec 2024,"6,144.0","4,033.8"
,,
© Terms & conditions ,,
