Time Period,Total Value of Loans
Jan 2014,57.9
Feb 2014,61.5
Mar 2014,62.3
Apr 2014,60.6
May 2014,75.2
Jun 2014,60.2
Jul 2014,59.2
Aug 2014,53.4
Sep 2014,50.8
Oct 2014,60.6
Nov 2014,66.4
Dec 2014,62.8
Jan 2015,49.5
Feb 2015,52.6
Mar 2015,66.5
Apr 2015,59.2
May 2015,66.5
Jun 2015,61.4
Jul 2015,61.6
Aug 2015,54.3
Sep 2015,58.7
Oct 2015,62
Nov 2015,69.8
Dec 2015,71.4
Jan 2016,56.2
Feb 2016,64.6
Mar 2016,71.3
Apr 2016,63.3
May 2016,71.9
Jun 2016,67.2
Jul 2016,58.1
Aug 2016,61
Sep 2016,63.4
Oct 2016,60.4
Nov 2016,69.2
Dec 2016,63.9
Jan 2017,53.7
Feb 2017,54.3
Mar 2017,72.8
Apr 2017,53.9
May 2017,66
Jun 2017,60.1
Jul 2017,51.6
Aug 2017,52.5
Sep 2017,55.1
Oct 2017,59.3
Nov 2017,64.5
Dec 2017,62.4
Jan 2018,57.2
Feb 2018,54.7
Mar 2018,59.8
Apr 2018,50.3
May 2018,63.4
Jun 2018,52.7
Jul 2018,47.5
Aug 2018,52.6
Sep 2018,44.4
Oct 2018,51.6
Nov 2018,53.6
Dec 2018,45.8
Jan 2019,39.5
Feb 2019,41.9
Mar 2019,40.4
Apr 2019,38.8
May 2019,48.5
Jun 2019,38.4
Jul 2019,35.1
Aug 2019,30.3
Sep 2019,29.9
Oct 2019,34.6
Nov 2019,38
Dec 2019,38.9
Jan 2020,34
Feb 2020,35.2
Mar 2020,20.2
Apr 2020,2.2
May 2020,2.3
Jun 2020,4.1
Jul 2020,2.2
Aug 2020,2.3
Sep 2020,5.1
Oct 2020,7.3
Nov 2020,4.8
Dec 2020,8.9
Jan 2021,4.2
Feb 2021,4.9
Mar 2021,8.2
Apr 2021,7.4
May 2021,7.1
Jun 2021,6.1
Jul 2021,3.6
Aug 2021,4.1
Sep 2021,3.9
Oct 2021,8.1
Nov 2021,14.4
Dec 2021,14.8
Jan 2022,11.9
Feb 2022,16.8
Mar 2022,24
Apr 2022,23.3
May 2022,29.7
Jun 2022,31.5
Jul 2022,26.3
Aug 2022,32
Sep 2022,31.1
Oct 2022,37.7
Nov 2022,47.7
Dec 2022,48.5
Jan 2023,43.5
Feb 2023,45.5
Mar 2023,44.7
Apr 2023,40.2
May 2023,49.7
Jun 2023,43.6
Jul 2023,40
Aug 2023,44.3
Sep 2023,43.9
Oct 2023,47.4
Nov 2023,53.4
Dec 2023,51.6
Jan 2024,53
Feb 2024,52.9
Mar 2024,51.1
Apr 2024,53
May 2024,53.4
Jun 2024,50.1
Jul 2024,53
Aug 2024,51.9
Sep 2024,52
,
© Terms & conditions ,
